date,home_team,away_team,home_score,away_score,tournament,p_home,p_draw,p_away,actual
2024-06-01,Greenland,Turkmenistan,0,5,Friendly,0.45970260142994646,0.269034148821592,0.2712632497484615,2
2024-06-02,Indonesia,Tanzania,0,0,Friendly,0.6209117434070499,0.22660595278639334,0.1524823038065567,1
2024-06-03,Albania,Liechtenstein,3,0,Friendly,0.9408497622310961,0.048997884106603225,0.010152353662300466,0
2024-06-03,Croatia,North Macedonia,3,0,Friendly,0.9220101978690758,0.06329011397583212,0.014699688155092169,0
2024-06-03,England,Bosnia and Herzegovina,3,0,Friendly,0.9399209652078393,0.049718062572545976,0.010360972219614361,0
2024-06-03,Germany,Ukraine,0,0,Friendly,0.605573124090788,0.23204125814923146,0.1623856177599807,1
2024-06-03,Gibraltar,Scotland,0,2,Friendly,0.0069477993382753445,0.03677990185441413,0.9562722988073105,2
2024-06-04,Switzerland,Estonia,4,0,Friendly,0.9097310732215581,0.07227099141430406,0.0179979353641378,0
2024-06-04,Slovenia,Armenia,2,1,Friendly,0.8286549158501203,0.12596474940382604,0.04538033474605353,0
2024-06-04,Romania,Bulgaria,0,0,Friendly,0.6958900058370671,0.1960709569940894,0.10803903716884367,1
2024-06-04,Italy,Turkey,0,0,Friendly,0.7670000771243204,0.1611059533430294,0.07189396953265002,1
2024-06-04,Portugal,Finland,4,2,Friendly,0.8971306196341291,0.0812341952739083,0.021635185091962723,0
2024-06-04,Austria,Serbia,2,1,Friendly,0.505351328439336,0.26044569396222567,0.23420297759843836,0
2024-06-04,Ireland,Hungary,2,1,Friendly,0.14773193572102547,0.22384115944799746,0.6284269048309771,0
2024-06-05,Tunisia,Equatorial Guinea,1,0,FIFA World Cup qualification,0.7202994616931383,0.1847277315788513,0.0949728067280104,0
2024-06-05,Guatemala,Dominica,6,0,FIFA World Cup qualification,0.7651510778647874,0.1620895251132255,0.07275939702198705,0
2024-06-05,Nicaragua,Montserrat,4,1,FIFA World Cup qualification,0.7083923572445519,0.190346759362548,0.10126088339290021,0
2024-06-05,Curaçao,Barbados,4,1,FIFA World Cup qualification,0.8243959006980008,0.12854187685037968,0.04706222245161949,0
2024-06-05,Suriname,Saint Vincent and the Grenadines,4,1,FIFA World Cup qualification,0.7053854394884778,0.1917399129736736,0.1028746475378486,0
2024-06-05,Trinidad and Tobago,Grenada,2,2,FIFA World Cup qualification,0.8479230768139318,0.11401674943852182,0.03806017374754653,1
2024-06-05,Antigua and Barbuda,Bermuda,1,1,FIFA World Cup qualification,0.3509361268527142,0.2768786220797406,0.3721852510675452,1
2024-06-05,Central African Republic,Chad,1,0,FIFA World Cup qualification,0.5619719841082429,0.2459430035051981,0.192085012386559,0
2024-06-05,Namibia,Liberia,1,1,FIFA World Cup qualification,0.5113332663797406,0.2591100001341628,0.22955673348609668,1
2024-06-05,Mexico,Uruguay,0,4,Friendly,0.23406109210663936,0.2604058077359236,0.5055331001574371,2
2024-06-05,Sierra Leone,Djibouti,2,1,FIFA World Cup qualification,0.44991872521787496,0.2704933141469812,0.2795879606351438,0
2024-06-05,Spain,Andorra,5,0,Friendly,0.9843726542396174,0.012974472379815968,0.0026528733805666277,0
2024-06-05,San Marino,Slovakia,0,4,Friendly,0.007173512519777991,0.03772753389928554,0.9550989535809364,2
2024-06-05,Norway,Kosovo,3,0,Friendly,0.7305318399481593,0.17976840558898136,0.08969975446285938,0
2024-06-05,France,Luxembourg,3,0,Friendly,0.9566689721213747,0.03645882212137425,0.006872205757250987,0
2024-06-05,Denmark,Sweden,2,1,Friendly,0.6453330257042482,0.21737881740406179,0.13728815689168983,0
2024-06-05,Belgium,Montenegro,2,0,Friendly,0.8968415596882304,0.0814369291362427,0.021721511175526877,0
2024-06-05,Togo,South Sudan,1,1,FIFA World Cup qualification,0.6536037216262542,0.21409566711292574,0.13230061126082004,1
2024-06-06,Hong Kong,Iran,2,4,FIFA World Cup qualification,0.014224068015734125,0.06191272299124997,0.9238632089930158,2
2024-06-06,Indonesia,Iraq,0,2,FIFA World Cup qualification,0.18016175088221753,0.24076754833566458,0.5790707007821179,2
2024-06-06,Vietnam,Philippines,3,2,FIFA World Cup qualification,0.6868190831716374,0.20011139922692697,0.11306951760143558,0
