date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-11,Mexico,South Africa,False,0.8253,0.128,0.0467,0.8189,0.1669,0.0142,0.6355,0.226,0.1385,42.0,,,,,0.1834,-0.0591,-0.1243,0.1834,0.3668,,,model_over_concentrated,,True
2026-06-11,South Korea,Czech Republic,True,0.496,0.2624,0.2415,0.4896,0.3014,0.209,0.3538,0.2997,0.3465,42.0,,,,,0.1358,0.0017,-0.1375,0.1375,0.275,,,model_over_concentrated,,False
2026-06-12,Canada,Bosnia and Herzegovina,False,0.8048,0.1401,0.0551,0.7984,0.179,0.0226,0.517,0.263,0.22,44.0,,,,,0.2814,-0.084,-0.1974,0.2814,0.5628,,,model_over_concentrated,,True
2026-06-12,USA,Paraguay,False,0.4553,0.2697,0.275,0.4489,0.3086,0.2425,0.4746,0.2724,0.253,44.0,,,,,-0.0257,0.0362,-0.0105,0.0362,0.0724,,,model_under_concentrated,,False
2026-06-13,Qatar,Switzerland,True,0.0462,0.1272,0.8266,0.0398,0.1661,0.7941,0.094,0.1719,0.7341,44.0,,,,,-0.0542,-0.0058,0.06,0.06,0.12,,,model_over_concentrated,,False
2026-06-13,Brazil,Morocco,True,0.3727,0.2769,0.3505,0.3663,0.3158,0.3179,0.586,0.2428,0.1712,44.0,,,,,-0.2197,0.073,0.1467,0.2197,0.4394,,,model_under_concentrated,,True
2026-06-13,Haiti,Scotland,True,0.2661,0.268,0.4658,0.2597,0.307,0.4333,0.1349,0.2041,0.661,44.0,,,,,0.1248,0.1029,-0.2277,0.2277,0.4554,,,model_under_concentrated,,True
2026-06-13,Australia,Turkey,True,0.3608,0.277,0.3623,0.3544,0.3159,0.3297,0.2123,0.2661,0.5216,41.0,,,,,0.1421,0.0498,-0.1919,0.1919,0.3838,,,disagree_on_favorite,,True
2026-06-14,Germany,Curaçao,True,0.8356,0.1217,0.0427,0.8292,0.1606,0.0101,0.9221,0.057,0.021,37.0,,,,,-0.0929,0.1036,-0.0109,0.1036,0.2074,,,model_under_concentrated,,False
2026-06-14,Ivory Coast,Ecuador,True,0.1671,0.2345,0.5984,0.1607,0.2734,0.5659,0.2709,0.3183,0.4109,40.0,,,,,-0.1102,-0.0449,0.155,0.155,0.3101,,,model_over_concentrated,,True
