date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,lambda_home,lambda_away,scoreline_grid,top_scorelines,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-18,Czech Republic,South Africa,True,0.5392,0.2523,0.2086,0.5328,0.2912,0.176,1.6408,0.9239,"[[0.08008755982556198, 0.06793459143593879, 0.03283738111000716, 0.010112885571853464, 0.002335839167109352, 0.0005079806775645294], [0.12309476849729346, 0.11978680111375016, 0.053881088728568935, 0.016593688850322027, 0.003832752587578629, 0.0008335181136571156], [0.10357347384525663, 0.09569216428382307, 0.044205287152013134, 0.01361384481733219, 0.00314447856779665, 0.0006838374730368173], [0.0566493768741471, 0.052338704855223454, 0.024178024340920284, 0.007446074724841578, 0.0017198684648342395, 0.0003740240168887723], [0.023238227277843613, 0.021469939935186113, 0.009918104236376029, 0.0030544656681412187, 0.0007055098657590622, 0.000153428962354569], [0.010322017598787314, 0.009536575023826953, 0.004405449918810684, 0.001356740684411232, 0.00031337524861142817, 6.815048457235402e-05]]","[{""score"": ""1-0"", ""prob"": 0.12309476849729346}, {""score"": ""1-1"", ""prob"": 0.11978680111375016}, {""score"": ""2-0"", ""prob"": 0.10357347384525663}]",0.5153,0.2655,0.2192,46,0.5176,0.2663,0.2161,3307797,0.0175,0.0257,-0.0432,0.0432,0.0864,0.0802,0.0062,model_over_concentrated,,False
2026-06-18,Mexico,South Korea,False,0.6095,0.2307,0.1598,0.6031,0.2696,0.1273,1.8168,0.8107,"[[0.0751312196145309, 0.055706089312309054, 0.02374541677222819, 0.006416844482349344, 0.001300542337463259, 0.00024303051789310623], [0.12840523606844811, 0.109301978787863, 0.043141034715754506, 0.011658220751989527, 0.0023628451194603354, 0.0004415415450478301], [0.11925466417188141, 0.0966803793497646, 0.03918964434691815, 0.010590416479312754, 0.002146426493676239, 0.0004010997007564604], [0.07222122983991203, 0.05855012838714261, 0.02373344750393868, 0.006413609966235434, 0.0012998867776847854, 0.00024290801435909363], [0.0328031574853441, 0.026593691169866335, 0.010779822191723503, 0.0029130860584670668, 0.0005904135221184767, 0.00011032974469052992], [0.016728945138123612, 0.013562243232215165, 0.005497490725538864, 0.0014856148185278, 0.00030109892392947863, 5.6265932535783725e-05]]","[{""score"": ""1-0"", ""prob"": 0.12840523606844811}, {""score"": ""2-0"", ""prob"": 0.11925466417188141}, {""score"": ""1-1"", ""prob"": 0.109301978787863}]",0.4696,0.2916,0.2389,46,0.4726,0.2935,0.2338,1006783,0.1335,-0.022,-0.1116,0.1335,0.2671,0.2609,0.01,model_over_concentrated,,False
2026-06-18,Switzerland,Bosnia and Herzegovina,True,0.7711,0.1589,0.07,0.7647,0.1978,0.0374,2.3357,0.561,"[[0.057156015209091575, 0.029017419309295075, 0.008687746756805264, 0.00162470196440233, 0.00022787753951262747, 2.8166143252195114e-05], [0.12698647691419238, 0.07429245276367588, 0.02029233693997686, 0.0037948849812949694, 0.00053226319116875, 6.578885010955097e-05], [0.15058487823702763, 0.08448296928867369, 0.023698834117315628, 0.004431936544914499, 0.0006216148052130483, 7.683289756753704e-05], [0.11724248618156964, 0.06577681288697777, 0.018451455843694904, 0.003450620442159134, 0.0004839773160737556, 5.9820614372532015e-05], [0.06846205638456782, 0.038409419821509534, 0.010774461131710298, 0.0020149399672998148, 0.0002826115632739106, 3.4931383728841225e-05], [0.050187838864916026, 0.028156994906325315, 0.007898490750804676, 0.001477102613355289, 0.00020717554143100814, 2.560733274010756e-05]]","[{""score"": ""2-0"", ""prob"": 0.15058487823702763}, {""score"": ""1-0"", ""prob"": 0.12698647691419238}, {""score"": ""3-0"", ""prob"": 0.11724248618156964}]",0.6146,0.233,0.1524,46,0.6219,0.2338,0.1443,347541,0.1501,-0.0352,-0.115,0.1501,0.3003,0.2857,0.0162,model_over_concentrated,,True
2026-06-18,Canada,Qatar,False,0.8675,0.1014,0.0311,0.8599,0.1401,0.0,2.8359,0.4072,"[[0.040269274506670553, 0.014684302334816744, 0.003237627066169216, 0.000439454588287007, 4.4736545752396725e-05, 3.905762499426529e-06], [0.10952721387493783, 0.046312921356979425, 0.009181426739112887, 0.0012462275688528263, 0.00012686616123227533, 1.1076159025100283e-05], [0.15702783847808377, 0.06394183397067477, 0.013018577378252495, 0.001767057615011759, 0.0001798867413109494, 1.5705166246965013e-05], [0.14843583129682433, 0.060443163276461424, 0.012306246931576068, 0.0016703704806473691, 0.00017004397592528973, 1.4845835172394881e-05], [0.10523546123887344, 0.04285194558863254, 0.008724669513078579, 0.001184230292881348, 0.00012055482885130446, 1.0525142738070751e-05], [0.10501503943636172, 0.042762189692886136, 0.008706395184655895, 0.001181749853562957, 0.00012030231974112363, 1.0503097213618184e-05]]","[{""score"": ""2-0"", ""prob"": 0.15702783847808377}, {""score"": ""3-0"", ""prob"": 0.14843583129682433}, {""score"": ""1-0"", ""prob"": 0.10952721387493783}]",0.7481,0.1676,0.0843,46,0.7612,0.1642,0.0746,816136,0.1118,-0.0275,-0.0843,0.1118,0.2236,0.1974,0.0262,model_over_concentrated,,False
2026-06-19,Scotland,Morocco,True,0.1393,0.2187,0.642,0.1329,0.2576,0.6095,0.76,1.9053,"[[0.07230216748507014, 0.12985397652098254, 0.12629673346259426, 0.08021097543416246, 0.03820645477346412, 0.020815715253016735], [0.05015905021517848, 0.10347114888698764, 0.09598022559843951, 0.06095698049009275, 0.029035304777377712, 0.01581907141382361], [0.02009303524005054, 0.03828322186610136, 0.03647047494168071, 0.02316237553749397, 0.011032807525768438, 0.006010915727706849], [0.005089954961420616, 0.009697881517080276, 0.00923867761425909, 0.005867478301653462, 0.002794823814982893, 0.0015226813652294043], [0.0009670381253916957, 0.0018424959029363604, 0.0017552519715612169, 0.0011147594154789474, 0.0005309872490672874, 0.0002892935093062858], [0.0001678289115949121, 0.00031976410638685424, 0.00030462297217353574, 0.00019346585669953025, 9.215253229612185e-05, 5.0206722489540715e-05]]","[{""score"": ""0-1"", ""prob"": 0.12985397652098254}, {""score"": ""0-2"", ""prob"": 0.12629673346259426}, {""score"": ""1-1"", ""prob"": 0.10347114888698764}]",0.1805,0.2647,0.5548,46,0.1741,0.2637,0.5622,265010,-0.0476,-0.0071,0.0547,0.0547,0.1094,0.0946,0.0148,model_over_concentrated,,False
2026-06-19,Brazil,Haiti,True,0.7652,0.162,0.0727,0.7588,0.201,0.0402,2.3121,0.5702,"[[0.05800325677467362, 0.029940692313867565, 0.009103745224191256, 0.001730183849379843, 0.00024661851350201753, 3.102873926033042e-05], [0.12750679319943065, 0.07582890617289907, 0.02104882054141949, 0.004000367810435288, 0.0005702080522971533, 7.174172258046831e-05], [0.14970924117221582, 0.08535756596882044, 0.02433354818671577, 0.004624636458288181, 0.0006591906225682711, 8.293722016274514e-05], [0.11538119287625392, 0.06578523613760609, 0.018753911212904695, 0.003564215989596061, 0.0005080394487957838, 6.391987108671549e-05], [0.06669337626709916, 0.03802560362892809, 0.010840255901526881, 0.002060210959564999, 0.00029366021682065784, 3.694737337221744e-05], [0.04814357537878319, 0.027449330309824736, 0.007825195039314782, 0.001487192989462473, 0.00021198286210064862, 2.667099425090727e-05]]","[{""score"": ""2-0"", ""prob"": 0.14970924117221582}, {""score"": ""1-0"", ""prob"": 0.12750679319943065}, {""score"": ""3-0"", ""prob"": 0.11538119287625392}]",0.8646,0.0925,0.0429,46,0.8793,0.079,0.0417,569522,-0.1058,0.1085,-0.0027,0.1085,0.217,0.244,0.0294,model_under_concentrated,,False
2026-06-19,USA,Australia,False,0.3423,0.2766,0.381,0.3359,0.3156,0.3485,1.2098,1.2911,"[[0.08547547268284553, 0.10242907328374223, 0.06835327747469477, 0.029415856315271355, 0.009494342861770947, 0.0030945818275324877], [0.09576357247906049, 0.13155978174255775, 0.0826924980854457, 0.03558674480434172, 0.011486075839014695, 0.0037437663752586275], [0.060018628453870335, 0.07748711178446344, 0.05001990754681054, 0.021526084302904987, 0.006947818300875469, 0.0022645687614104596], [0.024203132616672486, 0.03124747917296593, 0.020171045007461905, 0.008680616110734937, 0.002801779581848962, 0.0009132107724540424], [0.007320122646302245, 0.009450651845634225, 0.006100636876112102, 0.0026254111640191076, 0.0008473849435883278, 0.00027619626608512343], [0.0022007249428324075, 0.002841248193186845, 0.0018340981960466365, 0.0007893047853188867, 0.0002547581880308383, 8.303576883342982e-05]]","[{""score"": ""1-1"", ""prob"": 0.13155978174255775}, {""score"": ""0-1"", ""prob"": 0.10242907328374223}, {""score"": ""1-0"", ""prob"": 0.09576357247906049}]",0.5966,0.2243,0.1791,46,0.6059,0.2118,0.1823,752687,-0.2607,0.0913,0.1694,0.2607,0.5214,0.54,0.025,disagree_on_favorite,,True
2026-06-19,Turkey,Paraguay,True,0.506,0.2603,0.2337,0.4996,0.2992,0.2012,1.5635,0.9795,"[[0.08188415986245165, 0.07376787127754937, 0.03771930126168379, 0.012315078082678106, 0.0030155877052894897, 0.0007025201606620202], [0.11969024696120804, 0.12366987092351682, 0.05897368337787022, 0.019254479572222788, 0.004714835868674886, 0.0010983819990201765], [0.09610883159560368, 0.09413650777808587, 0.04610232977308914, 0.015052076044836675, 0.0036857951817404135, 0.0008586536610100035], [0.05008834217274474, 0.04906044048455269, 0.024026816581763918, 0.007844581219302234, 0.0019208991221376227, 0.00044749829611409375], [0.01957813329921432, 0.019176355252727845, 0.009391411202455653, 0.0030662275916087944, 0.0007508257897187521, 0.00017491457917048712], [0.008157267066896484, 0.007989865467534728, 0.003912949623064858, 0.0012775496504379962, 0.0003128330159900949, 7.28784973715922e-05]]","[{""score"": ""1-1"", ""prob"": 0.12366987092351682}, {""score"": ""1-0"", ""prob"": 0.11969024696120804}, {""score"": ""2-0"", ""prob"": 0.09610883159560368}]",0.4719,0.286,0.2421,46,0.4673,0.2864,0.2462,287822,0.0277,0.0132,-0.0409,0.0409,0.0818,0.0901,0.0091,model_over_concentrated,,False
2026-06-20,Germany,Ivory Coast,True,0.6047,0.2323,0.1629,0.5983,0.2713,0.1304,1.8042,0.8183,"[[0.07551893689266419, 0.0565302943481199, 0.02431246204780198, 0.006631269609404332, 0.0013565184146966621, 0.00025620715878852643], [0.12813405443100212, 0.11010991135054628, 0.04386468078424335, 0.011964173930178849, 0.0024474381542118, 0.0004622503970515275], [0.11820150513362968, 0.09671904645905889, 0.03957045190488063, 0.010792914951653519, 0.002207840842334274, 0.00041699738325942464], [0.07108660681518703, 0.05816701588869014, 0.023797743970192537, 0.0064908792886399615, 0.001327799622281412, 0.0002507830081623117], [0.03206371396953094, 0.02623631431395978, 0.010734005883332802, 0.002927720230940054, 0.0005989058868482496, 0.00011311602849521589], [0.016195786279508392, 0.013252293224505567, 0.005421881737550533, 0.0014788284099451665, 0.0003025149162118597, 5.713633249211829e-05]]","[{""score"": ""1-0"", ""prob"": 0.12813405443100212}, {""score"": ""2-0"", ""prob"": 0.11820150513362968}, {""score"": ""1-1"", ""prob"": 0.11010991135054628}]",0.6194,0.215,0.1656,45,0.6318,0.204,0.1642,326315,-0.0211,0.0563,-0.0352,0.0563,0.1126,0.1346,0.0248,model_under_concentrated,,False
2026-06-20,Ecuador,Curaçao,True,0.8302,0.125,0.0448,0.8238,0.164,0.0123,2.61,0.468,"[[0.047574300886576076, 0.02003502011273322, 0.005043618502231853, 0.0007868044863481691, 9.205612490273578e-05, 9.336241919520122e-06], [0.1186856778651314, 0.057774649943065866, 0.013163844290825136, 0.002053559709368721, 0.00024026648599614038, 2.436759140994752e-05], [0.15686698078317263, 0.07341374700652478, 0.0171788167995268, 0.0026798954207261807, 0.00031354776422496316, 3.179970678998151e-05], [0.1364742732813602, 0.06386995989567656, 0.014945570615588316, 0.0023315090160317773, 0.0002727865548757179, 2.7665744907283914e-05], [0.08904946331608751, 0.04167514883192895, 0.009751984826671374, 0.0015213096329607344, 0.00017799322705640592, 1.805189855200275e-05], [0.07760282752763958, 0.03631812328293532, 0.008498440848206865, 0.001325756772320271, 0.0001551135423614717, 1.573146336553424e-05]]","[{""score"": ""2-0"", ""prob"": 0.15686698078317263}, {""score"": ""3-0"", ""prob"": 0.1364742732813602}, {""score"": ""1-0"", ""prob"": 0.1186856778651314}]",0.8713,0.0904,0.0383,45,0.8763,0.0851,0.0386,607620,-0.0475,0.0736,-0.026,0.0736,0.1471,0.1577,0.0106,model_under_concentrated,,False
