team,elo
Spain,2196.0
Argentina,2162.6
France,2099.5
England,2062.3
Portugal,2050.3
Colombia,2036.7
Brazil,2026.9
Morocco,2011.9
Japan,2005.8
Netherlands,1998.7
Germany,1993.7
Mexico,1981.5
Ecuador,1976.5
Norway,1960.7
Croatia,1952.6
Turkey,1945.6
Uruguay,1939.0
Switzerland,1937.1
Belgium,1923.1
Australia,1922.5
Canada,1908.9
Senegal,1908.6
Algeria,1902.0
Iran,1901.5
Austria,1883.6
South Korea,1878.6
Panama,1862.4
Paraguay,1855.0
USA,1853.1
Uzbekistan,1847.9
Ivory Coast,1836.6
Scotland,1828.7
Jordan,1820.8
Czech Republic,1809.3
Egypt,1806.3
Sweden,1788.0
DR Congo,1766.5
Tunisia,1751.9
Haiti,1748.8
Iraq,1742.8
Saudi Arabia,1725.5
New Zealand,1712.2
South Africa,1696.6
Cape Verde,1680.9
Bosnia and Herzegovina,1652.9
Ghana,1649.7
Curaçao,1633.7
Qatar,1579.9
