date,home_team,away_team,neutral,elo_h_pre,elo_a_pre,eff_diff,home_score,away_score,goal_diff,total_goals
2018-01-02,Iraq,United Arab Emirates,True,1573.0,1563.0,10.0,0,0,0,0
2018-01-02,Oman,Bahrain,True,1516.0,1420.0,96.0,1,0,1,1
2018-01-05,Oman,United Arab Emirates,True,1534.2628332473842,1563.7193592083,-29.45652596091577,0,0,0,0
2018-01-07,Estonia,Sweden,True,1506.0,1823.0,-317.0,1,1,0,2
2018-01-11,Denmark,Sweden,True,1840.0,1815.777181286859,24.222818713140896,0,1,-1,1
2018-01-11,Indonesia,Iceland,False,1500.0,1811.0,-251.0,0,6,-6,6
2018-01-11,Jordan,Finland,True,1482.0,1594.0,-112.0,1,2,-1,3
2018-01-14,Indonesia,Iceland,False,1491.8913398931481,1819.1086601068519,-267.2173202137037,1,4,-3,5
2018-01-27,Moldova,South Korea,True,1500.0,1760.0,-260.0,0,1,-1,1
2018-01-28,USA,Bosnia and Herzegovina,False,1751.0,1723.0,88.0,0,0,0,0
2018-01-28,Yorkshire,Ellan Vannin,False,1500.0,1500.0,60.0,1,1,0,2
2018-01-30,Azerbaijan,Moldova,True,1500.0,1496.3415766839994,3.658423316000608,0,0,0,0
2018-01-30,Jamaica,South Korea,True,1564.0,1763.6584233160006,-199.6584233160006,2,2,0,4
2018-01-31,Mexico,Bosnia and Herzegovina,True,1847.0,1725.4800351723534,121.51996482764662,1,0,1,1
2018-02-03,Latvia,South Korea,True,1500.0,1758.4706665869073,-258.4706665869073,0,1,-1,1
2018-02-26,Saudi Arabia,Moldova,False,1570.0,1496.4468706798777,133.55312932012225,3,0,3,3
2018-02-28,Iraq,Saudi Arabia,False,1572.2806407917,1581.0859045510235,51.19473624067655,4,1,3,5
2018-03-17,Iran,Sierra Leone,False,1800.0,1500.0,360.0,4,0,4,4
2018-03-21,Andorra,Liechtenstein,True,1500.0,1500.0,0.0,1,0,1,1
2018-03-21,Antigua and Barbuda,Bermuda,False,1500.0,1500.0,60.0,3,2,1,5
