commence_time,home_team,away_team,p_home,p_draw,p_away,n_books
2026-06-17T17:00:00Z,Portugal,DR Congo,0.7368,0.1765,0.0867,47
2026-06-17T20:00:00Z,England,Croatia,0.554,0.2566,0.1893,49
2026-06-17T23:00:00Z,Ghana,Panama,0.4133,0.2942,0.2924,49
2026-06-18T02:00:00Z,Uzbekistan,Colombia,0.1024,0.2008,0.6968,49
2026-06-18T16:00:00Z,Czech Republic,South Africa,0.5399,0.2559,0.2042,49
2026-06-18T19:00:00Z,Switzerland,Bosnia and Herzegovina,0.6162,0.2313,0.1525,49
2026-06-18T22:00:00Z,Canada,Qatar,0.7454,0.1688,0.0859,49
2026-06-19T01:00:00Z,Mexico,South Korea,0.473,0.2902,0.2368,49
2026-06-19T19:00:00Z,USA,Australia,0.5929,0.2264,0.1807,49
2026-06-19T22:00:00Z,Scotland,Morocco,0.1824,0.2644,0.5532,48
2026-06-20T01:00:00Z,Brazil,Haiti,0.8661,0.0895,0.0444,48
2026-06-20T03:00:00Z,Turkey,Paraguay,0.4741,0.2841,0.2417,48
2026-06-20T17:00:00Z,Netherlands,Sweden,0.5625,0.2466,0.1909,47
2026-06-20T20:00:00Z,Germany,Ivory Coast,0.6189,0.2156,0.1655,48
2026-06-21T00:00:00Z,Ecuador,Curaçao,0.8713,0.0902,0.0385,48
2026-06-21T04:00:00Z,Tunisia,Japan,0.1376,0.2343,0.6281,48
2026-06-21T16:00:00Z,Spain,Saudi Arabia,0.8647,0.0959,0.0394,48
2026-06-21T19:00:00Z,Belgium,Iran,0.6707,0.206,0.1233,48
2026-06-21T22:00:00Z,Uruguay,Cape Verde,0.644,0.2301,0.1259,48
2026-06-22T01:00:00Z,New Zealand,Egypt,0.17,0.2391,0.5909,47
2026-06-22T17:00:00Z,Argentina,Austria,0.6152,0.2325,0.1523,44
2026-06-22T21:00:00Z,France,Iraq,0.8747,0.0895,0.0359,44
2026-06-23T00:00:00Z,Norway,Senegal,0.4084,0.2768,0.3148,43
2026-06-23T03:00:00Z,Jordan,Algeria,0.1565,0.2317,0.6118,44
2026-06-23T17:00:00Z,Portugal,Uzbekistan,0.7689,0.1506,0.0805,45
2026-06-23T20:00:00Z,England,Ghana,0.7242,0.1772,0.0985,45
2026-06-23T23:00:00Z,Panama,Croatia,0.1478,0.2444,0.6077,45
2026-06-24T02:00:00Z,Colombia,DR Congo,0.6462,0.225,0.1287,45
2026-06-24T19:00:00Z,Bosnia and Herzegovina,Qatar,0.6041,0.2386,0.1573,40
2026-06-24T19:00:00Z,Canada,Switzerland,0.2711,0.2828,0.4461,39
2026-06-24T22:00:00Z,Scotland,Brazil,0.1396,0.1967,0.6637,39
2026-06-24T22:00:00Z,Morocco,Haiti,0.734,0.172,0.094,39
2026-06-25T01:00:00Z,Mexico,Czech Republic,0.5246,0.2687,0.2066,39
2026-06-25T01:00:00Z,South Africa,South Korea,0.166,0.2374,0.5966,39
2026-06-25T20:00:00Z,Curaçao,Ivory Coast,0.0524,0.1171,0.8305,39
2026-06-25T20:00:00Z,Ecuador,Germany,0.1973,0.2509,0.5518,39
2026-06-25T23:00:00Z,Japan,Sweden,0.449,0.2781,0.2729,39
2026-06-25T23:00:00Z,Tunisia,Netherlands,0.1042,0.1789,0.717,39
2026-06-26T02:00:00Z,USA,Turkey,0.3981,0.2637,0.3382,39
2026-06-26T02:00:00Z,Paraguay,Australia,0.4359,0.2886,0.2755,39
2026-06-26T19:00:00Z,Norway,France,0.2228,0.2545,0.5228,39
2026-06-26T19:00:00Z,Senegal,Iraq,0.7091,0.1898,0.1011,38
2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,0.343,0.2643,0.3927,39
2026-06-27T00:00:00Z,Uruguay,Spain,0.1611,0.2299,0.6091,39
2026-06-27T03:00:00Z,New Zealand,Belgium,0.0791,0.1544,0.7665,39
2026-06-27T03:00:00Z,Egypt,Iran,0.4509,0.3024,0.2466,39
2026-06-27T21:00:00Z,Croatia,Ghana,0.578,0.2509,0.1711,39
2026-06-27T21:00:00Z,Panama,England,0.0961,0.159,0.745,39
2026-06-27T23:30:00Z,Colombia,Portugal,0.2696,0.2848,0.4455,39
2026-06-27T23:30:00Z,DR Congo,Uzbekistan,0.4086,0.2911,0.3003,39
2026-06-28T02:00:00Z,Algeria,Austria,0.3059,0.3022,0.3919,35
2026-06-28T02:00:00Z,Jordan,Argentina,0.0674,0.1385,0.794,35
