team,p_winner,n_books
France,0.1535,5
Spain,0.1515,5
England,0.1018,5
Portugal,0.0967,5
Brazil,0.0823,5
Argentina,0.0787,5
Germany,0.0535,5
Netherlands,0.0437,5
Norway,0.0263,5
Belgium,0.0225,5
USA,0.018,5
Colombia,0.0173,5
Morocco,0.0154,5
Mexico,0.0154,5
Japan,0.0144,5
Switzerland,0.0125,5
Uruguay,0.0103,5
Ecuador,0.0094,5
Turkey,0.0092,5
Croatia,0.0085,5
Senegal,0.0075,5
Sweden,0.0057,5
Austria,0.0052,5
Canada,0.0039,5
Scotland,0.0036,5
Ivory Coast,0.0034,5
South Korea,0.0032,5
Paraguay,0.0032,5
Bosnia and Herzegovina,0.0022,5
Egypt,0.0021,5
Ghana,0.002,5
Algeria,0.002,5
Australia,0.0018,5
Czech Republic,0.0016,5
Tunisia,0.0013,5
Iran,0.0013,5
DR Congo,0.001,5
Saudi Arabia,0.0009,5
South Africa,0.0009,5
Cape Verde,0.0008,5
Qatar,0.0008,5
Iraq,0.0008,5
Panama,0.0008,5
Haiti,0.0007,5
Uzbekistan,0.0007,5
New Zealand,0.0007,5
Curaçao,0.0006,5
Jordan,0.0006,5
