date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,lambda_home,lambda_away,scoreline_grid,top_scorelines,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-30,France,Sweden,True,0.8024,0.1415,0.0561,0.796,0.1804,0.0236,2.4715,0.5122,"[[0.05234259795110312, 0.02419178874270157, 0.00663788330052348, 0.0011332028423571173, 0.00014509316718007583, 1.6229678535441396e-05], [0.1233575963243916, 0.06579350500597873, 0.016405213277787004, 0.002800656997750603, 0.00035859087076011635, 4.011087959061297e-05], [0.1545736829654076, 0.0791652981649409, 0.02027235268420994, 0.0034608453693666104, 0.00044312015200863314, 4.956606682070969e-05], [0.12734050506635466, 0.0652177580209962, 0.016700718907424125, 0.0028511049800781776, 0.00036505013582737215, 4.0833393253070014e-05], [0.07867900239937621, 0.040295647776346526, 0.010318758373887653, 0.0017615926326941655, 0.0002255510177039746, 2.522944795969575e-05], [0.06291101750556496, 0.032220034893018855, 0.008250785710273417, 0.001408553509493602, 0.00018034855031773047, 2.0173238015798017e-05]]","[{""score"": ""2-0"", ""prob"": 0.1545736829654076}, {""score"": ""3-0"", ""prob"": 0.12734050506635466}, {""score"": ""1-0"", ""prob"": 0.1233575963243916}]",0.7409,0.1636,0.0955,48,0.7688,0.1558,0.0754,3033871,0.0551,0.0168,-0.0719,0.0719,0.1438,0.1036,0.0558,model_over_concentrated,,False
2026-06-30,Mexico,Ecuador,True,0.3678,0.2769,0.3552,0.3614,0.3159,0.3227,1.2633,1.2368,"[[0.08554028696896777, 0.09805243615394107, 0.06277755995726264, 0.025881390439579273, 0.00800261715581921, 0.0024725721013150416], [0.10022421406513726, 0.1317037180045046, 0.079305265555207, 0.03269529021430811, 0.010109498985162073, 0.003123536295973868], [0.06549237812166375, 0.08100189670340524, 0.05009214398475756, 0.020651556659859443, 0.006385534115965766, 0.001972941251556861], [0.0275782750095015, 0.034109199385429084, 0.021093369369805014, 0.00869619221769432, 0.0026888932877886505, 0.0008307885279711226], [0.008709730135545123, 0.01077231703883712, 0.006661676801651998, 0.002746418599308698, 0.000849202312031812, 0.00026237840749076115], [0.00276277736059665, 0.003417041994746721, 0.002113122859697435, 0.0008711800493020366, 0.00026937194215386346, 8.322796606137416e-05]]","[{""score"": ""1-1"", ""prob"": 0.1317037180045046}, {""score"": ""1-0"", ""prob"": 0.10022421406513726}, {""score"": ""0-1"", ""prob"": 0.09805243615394107}]",0.4246,0.3307,0.2447,48,0.4328,0.3333,0.2338,1501094,-0.0632,-0.0148,0.078,0.078,0.156,0.1777,0.0217,model_under_concentrated,,False
2026-07-01,England,DR Congo,True,0.7843,0.1517,0.064,0.7779,0.1906,0.0314,2.3908,0.5405,"[[0.05519064173151632, 0.026963866416076832, 0.007789748669617766, 0.001403438056709945, 0.00018963754119923697, 2.2499081291351067e-05], [0.1256408400156196, 0.07077450516644304, 0.018623764031010282, 0.0033553456355079263, 0.0004533862347177473, 5.379089860998059e-05], [0.15241557855113308, 0.08237974000692129, 0.02226288686537121, 0.0040109872608538304, 0.000541978862760016, 6.430175383164411e-05], [0.1214652697186228, 0.065651276820983, 0.017742067992808832, 0.0031964950965568386, 0.0004319217849824472, 5.1244301578534897e-05], [0.07259992000851197, 0.03923983750006267, 0.010604452779361156, 0.001910548495509968, 0.00025816010710139406, 3.062877318028385e-05], [0.05514806476262997, 0.0298072105241275, 0.008055312575825067, 0.0014512833092677744, 0.00019610256187453027, 2.326610782419811e-05]]","[{""score"": ""2-0"", ""prob"": 0.15241557855113308}, {""score"": ""1-0"", ""prob"": 0.1256408400156196}, {""score"": ""3-0"", ""prob"": 0.1214652697186228}]",0.7521,0.1762,0.0717,46,0.7612,0.1741,0.0647,444507,0.0258,0.0144,-0.0403,0.0403,0.0805,0.0665,0.0182,model_over_concentrated,,False
2026-07-01,USA,Bosnia and Herzegovina,True,0.6688,0.2078,0.1233,0.6624,0.2468,0.0908,1.9829,0.7185,"[[0.06969344546891099, 0.04563800112981491, 0.01732280204860781, 0.004148789292782326, 0.0007452223612961302, 0.0001213561843800577], [0.1304948848822916, 0.09819655851657706, 0.03434949201662719, 0.008226660114871422, 0.0014777060592232958, 0.0002406379334494642], [0.1319390988827607, 0.09479774447716527, 0.03405591077267893, 0.00815634777636888, 0.001465076271777046, 0.00023858122810403918], [0.08720762016517225, 0.06265834587991014, 0.02250989248972987, 0.005391090926342255, 0.0009683696198021657, 0.00015769473412521477], [0.043231133223238905, 0.031061406023369233, 0.011158751485491529, 0.002672506939346268, 0.00048004653680164944, 7.817346748665208e-05], [0.024918590010038162, 0.017903912854535135, 0.0064319468993562345, 0.0015404431888626363, 0.00027670065400619155, 4.505948469830531e-05]]","[{""score"": ""2-0"", ""prob"": 0.1319390988827607}, {""score"": ""1-0"", ""prob"": 0.1304948848822916}, {""score"": ""1-1"", ""prob"": 0.09819655851657706}]",0.697,0.1947,0.1084,48,0.7186,0.1859,0.0955,582934,-0.0346,0.0521,-0.0176,0.0521,0.1043,0.1218,0.0433,model_under_concentrated,,False
2026-07-01,Belgium,Senegal,True,0.3801,0.2767,0.3432,0.3737,0.3156,0.3107,1.2891,1.2116,"[[0.08548205770855516, 0.0959226123896977, 0.060207100119058415, 0.024316307628384215, 0.007365611557967817, 0.0022185848368769198], [0.102278570388074, 0.13157440295904668, 0.07761437107337844, 0.03134671690999476, 0.009495180925704744, 0.0028600292398508736], [0.06815445159924274, 0.08257819798929689, 0.05002724417223016, 0.02020489039808723, 0.006120229128451492, 0.0018434650586354278], [0.029286495481240734, 0.03548449096888364, 0.021497094115055935, 0.008682197823584582, 0.002629909837269442, 0.000792151207187639], [0.009438475375931243, 0.01143597035882266, 0.006928100823432354, 0.0027981057146068333, 0.0008475694627200018, 0.00025529512972434303], [0.0030706235040803597, 0.0037204694590096867, 0.0022539222045669565, 0.0009103090098728573, 0.0002757401603447017, 8.305528113235845e-05]]","[{""score"": ""1-1"", ""prob"": 0.13157440295904668}, {""score"": ""1-0"", ""prob"": 0.102278570388074}, {""score"": ""0-1"", ""prob"": 0.0959226123896977}]",0.4322,0.2983,0.2695,48,0.4428,0.2935,0.2637,458356,-0.0585,0.0173,0.0412,0.0585,0.117,0.1382,0.0212,model_under_concentrated,,False
2026-07-02,Portugal,Croatia,True,0.5137,0.2586,0.2277,0.5073,0.2975,0.1952,1.5813,0.9664,"[[0.08149626987781158, 0.07240616206950086, 0.036546021771795306, 0.011772379954035213, 0.0028441316536632027, 0.0006521080797328303], [0.12053103968983775, 0.12282785799755058, 0.05778855772914712, 0.01861512760078998, 0.004497295691534215, 0.0010311487703530888], [0.09784818388281816, 0.0945579799908481, 0.04568920558943393, 0.014717626212655292, 0.003555684300169759, 0.0008152542650877053], [0.051574290432238434, 0.04984007397188017, 0.024082085790265665, 0.007757437068772173, 0.0018741471482181173, 0.0004297081312629001], [0.020388018418213725, 0.01970245906609024, 0.009519976029258762, 0.003066620374429774, 0.0007408758560918373, 0.00016986946831880952], [0.00862213650350975, 0.008332211990297336, 0.004026018181398198, 0.001296880301479259, 0.0003133179808034596, 7.183816070692581e-05]]","[{""score"": ""1-1"", ""prob"": 0.12282785799755058}, {""score"": ""1-0"", ""prob"": 0.12053103968983775}, {""score"": ""2-0"", ""prob"": 0.09784818388281816}]",0.5368,0.2707,0.1925,48,0.5423,0.2736,0.1841,626247,-0.0295,0.0268,0.0027,0.0295,0.059,0.07,0.0168,model_under_concentrated,,False
2026-07-02,Spain,Austria,True,0.8023,0.1416,0.0562,0.7959,0.1805,0.0236,2.471,0.5123,"[[0.05235908100030947, 0.02420717716774937, 0.006644084112355632, 0.0011346147286237474, 0.00014531919230401444, 1.626048393573583e-05], [0.12337191989736679, 0.065821927757416, 0.016417412414218846, 0.0028036125997295326, 0.000359081112070738, 4.0179363523004494e-05], [0.15456287758987983, 0.07918442080789848, 0.02028356548627331, 0.0034638381694975973, 0.00044364148672190203, 4.964124252064238e-05], [0.12730736408562277, 0.06522109349211769, 0.016706775239830576, 0.002853027284779155, 0.0003654100464113653, 4.0887539322391e-05], [0.07864355207642608, 0.04029003741746681, 0.010320535328334102, 0.0017624447843809616, 0.0002257304141092248, 2.5258093678027203e-05], [0.0628640271042887, 0.03220599702545304, 0.008249759776626914, 0.001408817045642428, 0.0001804384783768975, 2.019015473811649e-05]]","[{""score"": ""2-0"", ""prob"": 0.15456287758987983}, {""score"": ""3-0"", ""prob"": 0.12730736408562277}, {""score"": ""1-0"", ""prob"": 0.12337191989736679}]",0.7217,0.1842,0.0941,48,0.7387,0.1759,0.0854,156870,0.0742,-0.0037,-0.0705,0.0742,0.1484,0.1236,0.034,model_over_concentrated,,False
2026-07-02,Switzerland,Algeria,True,0.412,0.2748,0.3132,0.4056,0.3137,0.2807,1.3567,1.1488,"[[0.08507463859873586, 0.0903496027330602, 0.053868791831972046, 0.020627662221598037, 0.005924122774865182, 0.0016714736246655627], [0.10732240919483332, 0.13067083485337772, 0.07308230848666109, 0.02798498207533096, 0.008037094455283281, 0.0022676423010590903], [0.07513100837478064, 0.0863084363182177, 0.04957437908018486, 0.018983227797297223, 0.005451852513692655, 0.0015382239748417945], [0.03397605765311152, 0.03903076069030906, 0.02241873226755403, 0.008584674371276238, 0.0024654594597942323, 0.0006956220551695182], [0.011523595769097736, 0.01323798992065583, 0.007603719388063299, 0.0029116479102413158, 0.0008362052622419228, 0.000235932828160492], [0.0039979828600090524, 0.004592772765049749, 0.0026380255256190565, 0.0010101637260430726, 0.0002901120772439539, 8.185425990284997e-05]]","[{""score"": ""1-1"", ""prob"": 0.13067083485337772}, {""score"": ""1-0"", ""prob"": 0.10732240919483332}, {""score"": ""0-1"", ""prob"": 0.0903496027330602}]",0.4663,0.2939,0.2398,48,0.4673,0.2965,0.2362,164191,-0.0607,0.0198,0.0409,0.0607,0.1214,0.1234,0.0072,model_under_concentrated,,False
2026-07-03,Argentina,Cape Verde,True,0.9235,0.0622,0.0143,0.9007,0.0993,0.0,3.3452,0.313,"[[0.026525311007575297, 0.0073455633596946285, 0.0012638391130944233, 0.0001318728593655448, 1.032001474143261e-05, 6.813693730565928e-07], [0.0855638730455984, 0.027741627055352658, 0.004227818898430414, 0.0004411436244053417, 3.4522711715323767e-05, 2.2793299260751113e-06], [0.14433484419813317, 0.045181024419837325, 0.007071490529423871, 0.0007378610666734641, 5.7743019464616895e-05, 3.8124291444121454e-06], [0.1609438985496582, 0.05038014383147809, 0.007885228689478052, 0.0008227690085383595, 6.43876862741952e-05, 4.251137089279269e-06], [0.13459815589369153, 0.04213315642583141, 0.006594454651390883, 0.0006880856762741772, 5.38477314944266e-05, 3.5552463797918878e-06], [0.1792624594078471, 0.05611438874003229, 0.00878272180932051, 0.000916416200454065, 7.171626325139509e-05, 4.734999566752677e-06]]","[{""score"": ""3-0"", ""prob"": 0.1609438985496582}, {""score"": ""2-0"", ""prob"": 0.14433484419813317}, {""score"": ""4-0"", ""prob"": 0.13459815589369153}]",0.8221,0.1254,0.0525,47,0.8404,0.1144,0.0453,873145,0.0786,-0.0261,-0.0525,0.0786,0.1572,0.1207,0.0365,model_over_concentrated,,False
2026-07-03,Colombia,Ghana,True,0.8686,0.1006,0.0307,0.8607,0.1393,0.0,2.844,0.4053,"[[0.0400189836690878, 0.014520561243762185, 0.003186954384311018, 0.00043050551029009455, 4.36156998283022e-05, 3.7883817719684683e-06], [0.10917071413392977, 0.04593871671035092, 0.009063637796521097, 0.0012243495024229715, 0.00012404222270378729, 1.0774085874934204e-05], [0.15695710953837738, 0.06360702952146469, 0.012888406955389406, 0.0017410133764295616, 0.00017638686383419762, 1.5320647895016702e-05], [0.14879434708866396, 0.060299061671886825, 0.012218128274535169, 0.0016504696689456188, 0.00016721363126790566, 1.4523877301377903e-05], [0.10579207493685606, 0.04287234680503773, 0.008687031243448502, 0.001173476105204843, 0.0001188880986118176, 1.032640786363674e-05], [0.10607617465070215, 0.04298747850527605, 0.00871035986321429, 0.0011766274208954834, 0.00011920736709025023, 1.0354138953331957e-05]]","[{""score"": ""2-0"", ""prob"": 0.15695710953837738}, {""score"": ""3-0"", ""prob"": 0.14879434708866396}, {""score"": ""1-0"", ""prob"": 0.10917071413392977}]",0.6283,0.244,0.1277,47,0.6382,0.2462,0.1156,192481,0.2324,-0.1047,-0.1277,0.2324,0.4648,0.445,0.0242,model_over_concentrated,,True
