date,match,stage,group,outcome,result,score,p_model_on_outcome,p_sportsbook_on_outcome,p_polymarket_on_outcome,gap_pp,gap_bucket,divergence_type,flagged,verdict
2026-06-22,France v Iraq,Group stage,I,H,Home win,3–0,0.8348,0.8818,0.8983,7,5–15pp,model_under_concentrated,False,Sources agreed
2026-06-22,Norway v Senegal,Group stage,I,H,Home win,3–2,0.4323,0.4206,0.4229,5,Under 5pp,model_over_concentrated,False,Sources agreed
2026-06-22,Argentina v Austria,Group stage,J,H,Home win,2–0,0.7609,0.612,0.6382,15,5–15pp,model_over_concentrated,False,Model closest
2026-06-22,Jordan v Algeria,Group stage,J,A,Away win,1–2,0.4516,0.6083,0.6119,16,15pp+,model_under_concentrated,True,Sources agreed
2026-06-21,Belgium v Iran,Group stage,G,D,Draw,0–0,0.3153,0.2072,0.206,28,15pp+,model_under_concentrated,True,All missed
2026-06-21,New Zealand v Egypt,Group stage,G,A,Away win,1–3,0.4705,0.5964,0.602,13,5–15pp,model_under_concentrated,False,Sources agreed
2026-06-21,Spain v Saudi Arabia,Group stage,H,H,Home win,4–0,0.8952,0.8714,0.8806,4,Under 5pp,model_over_concentrated,False,Sources agreed
2026-06-21,Uruguay v Cabo Verde,Group stage,H,D,Draw,2–2,0.2112,0.2242,0.2239,8,5–15pp,model_over_concentrated,False,All missed
2026-06-20,Germany v Côte d'Ivoire,Group stage,E,H,Home win,2–1,0.5983,0.6258,0.6418,6,5–15pp,model_under_concentrated,False,Sources agreed
2026-06-20,Ecuador v Curaçao,Group stage,E,D,Draw,0–0,0.1643,0.0953,0.0941,7,5–15pp,model_under_concentrated,False,All missed
2026-06-20,Netherlands v Sweden,Group stage,F,H,Home win,5–1,0.6747,0.5455,0.5522,13,5–15pp,model_over_concentrated,False,Model closest
2026-06-20,Tunisia v Japan,Group stage,F,A,Away win,0–4,0.7066,0.6245,0.6318,8,5–15pp,model_over_concentrated,False,Model closest
2026-06-19,Scotland v Morocco,Group stage,C,A,Away win,0–1,0.6095,0.5548,0.5622,5,5–15pp,model_over_concentrated,False,Model closest
2026-06-19,Brazil v Haiti,Group stage,C,H,Home win,3–0,0.7588,0.8646,0.8793,11,5–15pp,model_under_concentrated,False,Sources agreed
2026-06-19,USA v Australia,Group stage,D,H,Home win,2–0,0.3359,0.5966,0.6059,26,15pp+,disagree_on_favorite,True,Markets closest
2026-06-19,Türkiye v Paraguay,Group stage,D,A,Away win,0–1,0.2012,0.2421,0.2462,4,Under 5pp,model_over_concentrated,False,All missed
2026-06-18,Czechia v South Africa,Group stage,A,D,Draw,1–1,0.2907,0.2559,0.2537,3,Under 5pp,model_under_concentrated,False,All missed
2026-06-18,Mexico v South Korea,Group stage,A,H,Home win,1–0,0.6034,0.473,0.4778,13,5–15pp,model_over_concentrated,False,Model closest
2026-06-18,Switzerland v Bosnia and Herzegovina,Group stage,B,H,Home win,4–1,0.7648,0.6162,0.6219,15,5–15pp,model_over_concentrated,False,Model closest
2026-06-18,Canada v Qatar,Group stage,B,H,Home win,6–0,0.86,0.7454,0.7512,11,5–15pp,model_over_concentrated,False,Model closest
2026-06-17,Portugal v DR Congo,Group stage,K,D,Draw,1–1,0.1963,0.1696,0.1642,5,5–15pp,model_over_concentrated,False,All missed
2026-06-17,Uzbekistan v Colombia,Group stage,K,A,Away win,1–3,0.6102,0.6918,0.7114,8,5–15pp,model_under_concentrated,False,Sources agreed
2026-06-17,England v Croatia,Group stage,L,H,Home win,4–2,0.5279,0.5558,0.5622,4,Under 5pp,model_under_concentrated,False,Sources agreed
2026-06-17,Ghana v Panama,Group stage,L,H,Home win,1–0,0.1058,0.4375,0.4372,38,15pp+,disagree_on_favorite,True,Markets closest
2026-06-16,France v Senegal,Group stage,I,H,Home win,3–1,0.6484,0.6522,0.6617,3,Under 5pp,model_under_concentrated,False,Sources agreed
2026-06-16,Iraq v Norway,Group stage,I,A,Away win,1–4,0.6501,0.804,0.8209,15,15pp+,model_under_concentrated,True,Sources agreed
2026-06-16,Argentina v Algeria,Group stage,J,H,Home win,3–0,0.7383,0.6863,0.7015,6,5–15pp,model_over_concentrated,False,Model closest
2026-06-16,Austria v Jordan,Group stage,J,H,Home win,3–1,0.446,0.7146,0.7286,27,15pp+,model_under_concentrated,True,Sources agreed
2026-06-15,Belgium v Egypt,Group stage,G,D,Draw,1–1,0.2899,0.2424,0.2414,5,5–15pp,model_under_concentrated,False,All missed
